NIRPS 0.0, 0.49, -0.92, -1.00
NIRPS 0.0, 0.29, -0.54, -1.00
NIRPS 0.0, 0.16, -0.19, -1.00
NIRPS 0.0, 1.28, 0.31, -1.00
NIRPS 0.0, 0.67, 0.13, -1.00
NIRPS 0.0, 0.11, -0.02, -1.00
NIRPS 0.0, 0.32, -0.05, -1.00
NIRPS 0.0, 0.46, -0.00, -1.00
NIRPS 0.0, 0.60, 0.03, -1.00
NIRPS 0.0, 0.65, 0.05, -1.00
NIRPS 0.0, 0.66, 0.07, -1.00
NIRPS 0.0, 1.04, 0.27, -1.00
NIRPS 0.0, 0.93, 0.54, -1.00
NIRPS 0.0, 0.28, -0.14, -1.00
NIRPS 0.0, 0.39, -0.84, -1.00
NIRPS 0.0, 0.26, -0.29, -1.00
NIRPS 0.0, 0.20, -0.21, -1.00
NIRPS 0.0, 0.15, -0.17, -1.00
NIRPS 0.0, 1.97, 0.51, -1.00
NIRPS 0.0, 0.44, 0.09, -1.00
NIRPS PRINT
NIRPS CLEAR
NIRPS 0.0, 0.52, 0.77, -1.00
NIRPS 0.0, 1.07, 0.72, -1.00
NIRPS 0.0, 1.30, 0.53, -1.00
NIRPS 0.0, 1.31, 0.86, -1.00
NIRPS 0.0, 1.32, 0.71, -1.00
NIRPS 0.0, 1.48, 0.30, -1.00
NIRPS 0.0, 1.38, -0.02, -1.00
NIRPS 0.0, 1.34, 0.04, -1.00
NIRPS 0.0, 0.72, -0.09, -1.00
NIRPS 0.0, 0.62, 0.02, -1.00
NIRPS 0.0, 0.36, -0.01, -1.00
NIRPS 0.0, 0.55, 0.00, -1.00
NIRPS 0.0, 0.18, -0.17, -1.00
NIRPS 0.0, 0.20, 0.52, -1.00
NIRPS 0.0, 0.27, 0.49, -1.00
NIRPS 0.0, 0.77, 0.37, -1.00
NIRPS 0.0, 0.92, 0.74, -1.00
NIRPS 0.0, 1.31, 0.38, -1.00
NIRPS 0.0, 1.29, 0.24, -1.00
NIRPS 0.0, 1.52, 0.41, -1.00
NIRPS 0.0, 1.57, 0.23, -1.00
NIRPS 0.0, 1.47, -0.04, -1.00
NIRPS 0.0, 1.39, -0.27, -1.00
NIRPS 0.0, 1.04, -0.20, -1.00
NIRPS 0.0, 2.09, 0.21, -1.00
NIRPS 0.0, 0.64, 0.03, -1.00
NIRPS 0.0, 0.22, -0.02, -1.00
NIRPS 0.0, 0.18, -0.03, -1.00
NIRPS 0.0, 0.39, -0.01, -1.00
NIRPS 0.0, 0.80, 0.06, -1.00
NIRPS 0.0, 1.94, 0.16, -1.00
NIRPS 0.0, 1.04, 0.08, -1.00
NIRPS 0.0, 0.16, 0.22, -1.00
NIRPS 0.0, 0.36, -0.01, -1.00
NIRPS 0.0, 0.79, 0.19, -1.00
NIRPS 0.0, 1.01, -0.30, -1.00
NIRPS PRINT
